Time Lapsed,Angular_Velocity_X
39597.353,0.0
39597.447,0.0
39597.555,0.0
39597.631,0.0
39597.775,0.0
39597.880,0.0
39597.969,0.0
39598.018,0.0
39598.109,0.0
39598.266,0.0
39598.322,0.0
39598.415,0.0
39598.520,0.0
39598.618,0.0
39598.728,0.0
39598.824,0.0
39598.925,0.0
39599.006,0.0
39599.118,0.0
39599.206,0.0
39599.310,0.0
39599.422,0.0
39599.545,0.0
39599.606,0.0
39599.716,0.0
39599.817,0.0
39599.925,0.0
39600.021,0.0
39600.130,0.0
39600.226,0.0
39600.322,0.0
39600.417,0.0
39600.518,0.0
39600.638,0.0
39600.734,0.0
39600.827,0.0
39600.949,0.0
39601.049,0.0
39601.145,0.0
39601.255,0.0
39601.351,0.0
39601.454,0.0
39601.554,0.0
39601.601,0.0
39601.761,0.0
39601.859,0.0
39601.966,0.0
39602.062,0.0
39602.116,0.0
39602.206,0.0
39602.314,0.0
39602.410,0.0
39602.506,0.0
39602.604,0.0
39602.704,0.0
39602.799,0.0
39602.897,0.0
39602.993,0.0
39603.094,0.0
39603.212,0.0
39603.312,0.0
39603.391,0.0
39603.506,0.0
39603.604,0.0
39603.699,0.0
39603.804,0.0
39603.898,0.0
39604.018,0.0
39604.126,0.0
39604.219,0.0
39604.307,0.0
39604.429,0.0
39604.538,0.0
39604.636,0.0
39604.731,0.0
39604.832,0.0
39604.896,0.0
39604.994,0.0
39605.096,0.0
39605.229,0.0
39605.307,0.0
39605.418,0.0
39605.494,0.0
39605.597,0.0
39605.750,0.0
39605.802,0.0
39605.962,0.0
39606.003,0.0
39606.084,0.0
39606.182,0.0
39606.285,0.0
39606.400,0.0
39606.494,0.0
39606.594,0.0
39606.701,0.0
39656.788,0.0
39656.885,0.0
39656.983,0.0
39657.089,0.0
39657.185,0.0
39657.282,0.0
39657.378,0.0
39657.503,0.0
39657.599,0.0
39657.695,0.0
39657.807,0.0
39657.913,0.0
39658.010,0.0
39658.106,0.0
39658.214,0.0
39658.288,0.0
39658.408,0.0
39658.537,0.0
39658.609,0.0
39658.728,0.0
39658.824,0.0
39658.917,0.0
39659.042,0.0
39659.136,0.0
39659.231,0.0
39659.341,0.0
39659.439,0.0
39659.538,0.0
39659.591,0.0
39659.687,0.0
39659.785,0.0
39659.881,0.0
39660.050,0.0
39660.077,0.0
39660.195,0.0
39660.273,0.0
39660.398,0.0
39660.481,0.0
39660.582,0.0
39660.692,0.0
39660.787,0.0
39660.880,0.0
39660.976,0.0
39661.074,0.0
39661.180,0.0
39661.273,0.0
39661.393,0.0
39661.476,0.0
39661.589,0.0
39661.690,0.0
39661.788,0.0
39661.888,0.0
39662.008,0.0
39662.104,0.0
39662.211,0.0
39662.273,0.0
39662.418,0.0
39662.513,0.0
39662.623,0.0
39662.719,0.0
39662.815,0.0
39662.866,0.0
39663.016,0.0
39663.067,0.0
39663.165,0.0
39663.261,0.0
39663.361,0.0
39663.527,0.0
39663.579,0.0
39663.680,0.0
39663.780,0.0
39663.875,0.0
39663.974,0.0
39664.072,0.0
39664.179,0.0
39664.280,0.0
39664.359,0.0
39664.461,0.0
39664.571,0.0
39664.673,0.0
39664.785,0.0
39664.863,0.0
39664.962,0.0
39665.074,0.0
39665.162,0.0
39665.263,0.0
39665.385,0.0
39665.489,0.0
39665.589,0.0
39665.685,0.0
39665.783,0.0
39665.890,0.0
39665.998,0.0
39666.094,0.0
39666.194,0.0
39666.298,0.0
39666.396,0.0
39666.515,0.0
39666.621,0.0
39716.711,0.0
39716.810,0.0
39716.859,0.0
39716.961,0.0
39717.057,0.0
39717.153,0.0
39717.251,0.0
39717.359,0.0
39717.449,0.0
39717.552,0.0
39717.652,0.0
39717.748,0.0
39717.848,0.0
39718.040,0.0
39718.048,0.0
39718.160,0.0
39718.256,0.0
39718.361,0.0
39718.459,0.0
39718.543,0.0
39718.650,0.0
39718.756,0.0
39718.871,0.0
39718.961,0.0
39719.057,0.0
39719.163,0.0
39719.263,0.0
39719.369,0.0
39719.451,0.0
39719.584,0.0
39719.679,0.0
39719.778,0.0
39719.873,0.0
39720.000,0.0
39720.094,0.0
39720.192,0.0
39720.248,0.0
39720.339,0.0
39720.503,0.0
39720.601,0.0
39720.709,0.0
39720.805,0.0
39720.900,0.0
39720.954,0.0
39721.057,0.0
39721.148,0.0
39721.246,0.0
39721.344,0.0
39721.445,0.0
39721.547,0.0
39721.641,0.0
39721.765,0.0
39721.844,0.0
39721.942,0.0
39722.038,0.0
39722.135,0.0
39722.246,0.0
39722.342,0.0
39722.440,0.0
39722.545,0.0
39722.643,0.0
39722.761,0.0
39722.869,0.0
39722.961,0.0
39723.042,0.0
39723.150,0.0
39723.251,0.0
39723.354,0.0
39723.435,0.0
39723.545,0.0
39723.646,0.0
39723.753,0.0
39723.875,0.0
39723.971,0.0
39724.086,0.0
39724.182,0.0
39724.231,0.0
39724.388,0.0
39724.440,0.0
39724.530,0.0
39724.626,0.0
39724.729,0.0
39724.832,0.0
39724.930,0.0
39725.027,0.0
39725.143,0.0
39725.239,0.0
39725.342,0.0
39725.442,0.0
39725.537,0.0
39725.625,0.0
39725.724,0.0
39725.834,0.0
39725.932,0.0
39726.028,0.0
39726.128,0.0
39726.222,0.0
39726.342,0.0
39726.437,0.0
39726.543,0.0
39726.631,0.0
39776.756,0.0
39776.849,0.0
39776.957,0.0
39777.052,0.0
39777.148,0.0
39777.280,0.0
39777.348,0.0
39777.469,0.0
39777.565,0.0
39777.646,0.0
39777.756,0.0
39777.878,0.0
39777.969,0.0
39778.013,0.0
39778.118,0.0
39778.214,0.0
39778.383,0.0
39778.422,0.0
39778.518,0.0
39778.648,0.0
39778.793,0.0
39778.822,0.0
39778.932,0.0
39779.013,0.0
39779.116,0.0
39779.243,0.0
39779.327,0.0
39779.410,0.0
39779.523,0.0
39779.619,0.0
39779.716,0.0
39779.812,0.0
39779.920,0.0
39780.016,0.0
39780.113,0.0
39780.219,0.0
39780.332,0.0
39780.429,0.0
39780.527,0.0
39780.631,0.0
39780.726,0.0
39780.849,0.0
39780.954,0.0
39781.035,0.0
39781.155,0.0
39781.250,0.0
39781.341,0.0
39781.461,0.0
39781.559,0.0
39781.653,0.0
39781.758,0.0
39781.809,0.0
39781.902,0.0
39782.023,0.0
39782.106,0.0
39782.207,0.0
39782.302,0.0
39782.440,0.0
39782.518,0.0
39782.603,0.0
39782.706,0.0
39782.815,0.0
39782.910,0.0
39783.013,0.0
39783.109,0.0
39783.202,0.0
39783.300,0.0
39783.423,0.0
39783.498,0.0
