Time Lapsed,Magnetic field Y
1311.795,11.447
1311.972,11.353
1311.999,11.327
1312.097,11.353
1312.199,11.287
1312.304,11.433
1312.405,11.433
1312.507,11.28
1312.610,11.327
1312.714,11.373
1312.805,11.353
1312.896,11.32
1312.996,11.373
1313.097,11.273
1313.217,11.447
1313.303,11.433
1313.406,11.273
1313.509,11.293
1313.633,11.38
1313.713,11.353
1313.834,11.433
1313.922,11.367
1314.021,11.34
1314.123,11.253
1314.193,11.333
1314.327,11.247
1314.429,11.3
1314.555,11.513
1314.644,11.3
1314.737,11.353
1314.839,11.433
1314.940,11.353
1315.054,11.413
1315.152,11.287
1315.247,11.367
1315.347,11.3
1315.450,11.353
1315.556,11.307
1315.655,11.233
1315.762,11.353
1315.786,11.393
1315.888,11.36
1315.988,11.3
1316.170,11.22
1316.198,11.44
1316.283,11.473
1316.383,11.313
1316.485,11.38
1316.585,11.327
1316.683,11.313
1316.784,11.267
1316.891,11.367
1316.989,11.46
1317.092,11.373
1317.215,11.313
1317.297,11.427
1317.399,11.347
1317.501,11.287
1317.629,11.293
1317.724,11.3
1317.809,11.367
1317.910,11.267
1318.043,11.333
1318.114,11.32
1318.217,11.273
1318.320,11.467
1318.428,11.393
1318.526,11.38
1318.628,11.38
1318.754,11.367
1318.832,11.28
1318.959,11.387
1319.052,11.307
1319.168,11.227
1319.242,11.327
1319.339,11.273
1319.464,11.253
1319.550,11.407
1319.677,11.293
1319.679,11.327
1319.787,11.293
1319.882,11.347
1319.984,11.347
1320.164,11.353
1320.172,11.36
1610.293,11.293
1610.391,11.313
1610.471,11.287
1610.578,11.353
1610.676,11.3
1610.779,11.367
1610.891,11.413
1610.984,11.34
1611.090,11.353
1611.189,11.333
1611.302,11.333
1611.401,11.493
1611.494,11.427
1611.596,11.26
1611.699,11.233
1611.803,11.393
1611.907,11.287
1612.007,11.46
1612.130,11.38
1612.264,11.44
1612.315,11.32
1612.416,11.24
1612.476,11.34
1612.622,11.233
1612.727,11.287
1612.787,11.293
1612.929,11.46
1612.994,11.467
1613.139,11.34
1613.167,11.393
1613.264,11.407
1613.462,11.453
1613.480,11.36
1613.573,11.347
1613.668,11.307
1613.773,11.287
1613.872,11.353
1613.977,11.413
1614.079,11.473
1614.197,11.467
1614.262,11.4
1614.381,11.413
1614.464,11.213
1614.567,11.327
1614.676,11.387
1614.771,11.26
1614.875,11.353
1614.977,11.36
1615.081,11.373
1615.206,11.393
1615.302,11.293
