Time Lapsed,Magnetic field X
1077.156,-31.98
1077.258,-31.887
1077.364,-32.04
1077.462,-32.133
1077.568,-32.033
1077.597,-32.06
1077.695,-32.047
1077.793,-32.093
1077.891,-32.02
1078.006,-32.08
1078.105,-32.087
1078.203,-32.087
1078.300,-32.067
1078.407,-31.973
1078.510,-32.113
1078.627,-32.127
1078.692,-32.027
1078.795,-31.94
1078.896,-31.927
1078.998,-32.033
1079.105,-32.093
1079.204,-32.053
1079.306,-32.007
1079.409,-31.987
1079.516,-31.993
1079.614,-32.08
1079.728,-31.933
1079.817,-31.893
1079.920,-31.967
1080.021,-32.02
1080.141,-32.033
1130.228,-31.96
1130.331,-31.9
1130.432,-32.0
1130.533,-31.927
1130.637,-32.127
1130.741,-32.04
1130.841,-32.007
1130.945,-32.0
1131.003,-32.04
1131.152,-31.96
1131.252,-32.093
1131.354,-32.08
1131.382,-32.127
1131.568,-31.987
1131.586,-31.993
1131.687,-31.907
1131.866,-32.073
1131.894,-31.98
1132.002,-31.94
1132.099,-31.947
1132.198,-31.98
1132.302,-32.067
1132.403,-31.953
1132.481,-31.933
1132.583,-32.0
1132.687,-32.133
1132.788,-31.913
1132.890,-32.113
1132.991,-31.873
1133.094,-31.973
1133.198,-32.0
1133.300,-32.047
1133.406,-31.993
1133.504,-32.107
1133.607,-32.08
1133.710,-31.96
1133.815,-32.027
1133.923,-31.913
1134.021,-31.953
1134.140,-32.087
1134.229,-32.08
1134.325,-32.093
1134.425,-31.973
1134.551,-31.833
1134.633,-32.04
1134.732,-31.993
1134.834,-32.093
1134.874,-32.0
1135.040,-32.04
1135.143,-32.0
1135.171,-32.06
1135.347,-31.967
1135.376,-31.98
1135.472,-32.087
1135.577,-32.013
1135.680,-32.033
1135.783,-31.98
1135.883,-32.033
1135.976,-32.02
1136.088,-31.947
1136.190,-31.973
1136.269,-32.047
1136.389,-32.053
1136.472,-32.02
1136.577,-31.873
1136.673,-31.973
1136.782,-32.053
1136.887,-31.973
1136.986,-32.087
1137.089,-31.953
1137.193,-31.933
1137.293,-32.087
1137.394,-31.96
1137.497,-32.047
1137.600,-32.007
1137.702,-31.96
1137.815,-32.013
1137.906,-31.92
1138.011,-32.06
1138.112,-32.08
1138.227,-32.14
1138.315,-32.06
1138.421,-32.013
1138.523,-32.02
1138.625,-31.98
1138.727,-32.02
1138.829,-32.047
1138.931,-32.067
1139.035,-32.007
1139.061,-31.967
1139.161,-31.967
1139.340,-31.94
1139.368,-31.947
1139.471,-31.98
1139.574,-32.067
1139.677,-32.127
1139.775,-31.98
1139.876,-32.153
1139.978,-32.08
1140.065,-32.027
1140.161,-32.053
1190.284,-31.973
1190.387,-32.013
1190.487,-32.067
1190.570,-32.1
1190.692,-32.087
1190.775,-31.967
1190.878,-32.047
1190.980,-32.06
1191.081,-32.047
1191.185,-31.947
1191.286,-31.993
1191.388,-31.96
1191.491,-31.953
1191.595,-32.0
1191.695,-32.033
1191.807,-32.02
1191.902,-31.953
1192.004,-32.08
1192.106,-32.093
1192.226,-32.113
1192.315,-32.16
1192.412,-31.953
1192.540,-32.04
1192.637,-32.013
1192.721,-32.1
1192.751,-32.06
1192.925,-32.16
1192.961,-31.92
1193.060,-32.093
1193.158,-32.013
1193.266,-31.92
1193.359,-32.113
1193.540,-32.127
1193.567,-31.947
1193.665,-31.973
1193.770,-32.0
1193.850,-31.993
1193.949,-32.167
1194.063,-32.06
1194.154,-32.107
1194.257,-32.207
1194.360,-32.093
1194.476,-32.08
1194.562,-32.087
1194.666,-32.033
1194.801,-32.06
1194.871,-32.027
1194.976,-32.047
1195.075,-32.08
1195.177,-31.973
1195.280,-32.073
1195.384,-32.113
1195.486,-32.047
1195.586,-32.093
1195.715,-32.027
1195.793,-32.027
1195.900,-32.007
1195.997,-31.993
1196.125,-32.027
1196.204,-32.047
1196.311,-31.98
1196.341,-32.013
1196.509,-32.1
1196.634,-32.073
1196.652,-32.093
1196.741,-32.053
1196.841,-32.047
1196.943,-32.093
1197.043,-31.98
1197.148,-32.067
1197.253,-32.107
1197.429,-32.033
1197.457,-32.033
1197.557,-32.027
1197.660,-31.993
1197.739,-32.0
1197.840,-31.96
1197.943,-32.0
1198.149,-32.04
1198.153,-32.027
1198.253,-32.093
1198.352,-32.107
1198.472,-32.02
1198.560,-32.087
1198.660,-32.1
1198.761,-32.053
1198.885,-32.027
1198.966,-31.993
1199.074,-31.933
1199.171,-32.0
1199.278,-31.987
1199.376,-32.067
1199.478,-31.907
1199.582,-31.967
1199.688,-31.967
1199.788,-32.16
1199.889,-32.06
1199.999,-31.887
1200.094,-31.96
1200.195,-31.973
1250.310,-32.08
1250.330,-31.993
1250.502,-32.033
1250.530,-32.087
1250.630,-32.06
1250.746,-32.033
1250.833,-32.033
1250.936,-32.047
1251.045,-31.987
1251.145,-32.073
1251.242,-32.007
1251.326,-32.093
1251.449,-32.067
1251.531,-31.987
1251.629,-32.06
1251.731,-31.953
1251.838,-31.993
1251.939,-32.033
1252.040,-31.967
1252.148,-32.0
1252.244,-32.047
1252.346,-32.133
1252.447,-31.953
1252.561,-32.067
1252.657,-32.02
1252.756,-32.02
1252.858,-32.0
1252.963,-32.027
1253.062,-32.093
1253.166,-32.0
1253.268,-31.933
1253.369,-31.973
1253.472,-32.027
1253.575,-32.02
1253.678,-32.013
1253.779,-31.933
1253.883,-31.793
1253.985,-31.933
1254.025,-32.033
1254.189,-32.027
1254.292,-32.053
1254.320,-31.92
1254.420,-31.96
1254.520,-31.927
1254.622,-32.047
1254.721,-32.053
1254.834,-32.0
1254.928,-32.073
1255.033,-32.087
1255.131,-32.013
1255.238,-32.127
1255.322,-32.02
1255.418,-32.067
1255.525,-31.967
1255.622,-32.027
1255.726,-32.1
1255.829,-32.127
1255.935,-32.02
1256.033,-31.933
1256.160,-31.927
1256.237,-32.027
1256.340,-32.027
1256.443,-32.007
1256.559,-32.0
1256.646,-31.98
1256.749,-32.027
1256.852,-32.02
1256.970,-32.073
1257.058,-31.88
1257.158,-31.96
1257.261,-32.033
1257.363,-31.947
1257.467,-32.027
1257.570,-31.807
1257.670,-31.867
1257.773,-31.913
1257.877,-32.1
1257.978,-32.06
1258.116,-31.96
1258.119,-31.967
1258.208,-32.053
1258.395,-31.953
1258.413,-32.013
1258.514,-31.927
1258.614,-32.073
1258.717,-32.167
1258.807,-32.013
1258.905,-31.967
1259.026,-32.04
1259.103,-32.093
1259.207,-31.933
1259.310,-31.973
1259.412,-32.013
1259.515,-32.127
1259.616,-31.947
1259.719,-32.08
1259.820,-32.093
1259.925,-32.073
1260.027,-32.04
1260.128,-32.227
1310.233,-31.913
1310.333,-32.053
1310.433,-32.04
1310.538,-32.067
1310.644,-32.147
1310.744,-31.94
1310.846,-32.047
1310.967,-31.88
1311.051,-32.06
1311.156,-32.113
1311.255,-32.027
1311.380,-32.033
1311.460,-32.007
1311.563,-32.053
1311.702,-32.067
1311.766,-32.08
1311.795,-32.053
1311.972,-32.06
1311.999,-32.147
1312.097,-31.993
1312.199,-31.933
1312.304,-32.053
1312.405,-32.093
1312.507,-32.14
1312.610,-32.053
1312.714,-32.013
1312.805,-32.2
1312.896,-32.067
1312.996,-32.08
1313.097,-32.087
1313.217,-31.927
1313.303,-32.053
1313.406,-31.933
1313.509,-31.953
1313.633,-32.193
1313.713,-32.047
1313.834,-32.007
1313.922,-31.967
1314.021,-31.98
1314.123,-32.047
1314.193,-32.053
1314.327,-32.033
1314.429,-32.06
1314.555,-32.0
1314.644,-32.033
1314.737,-32.033
1314.839,-32.073
1314.940,-32.073
1315.054,-32.087
1315.152,-32.087
1315.247,-32.04
1315.347,-32.113
1315.450,-32.1
1315.556,-31.993
1315.655,-31.973
1315.762,-32.007
1315.786,-32.067
1315.888,-32.007
1315.988,-32.053
1316.170,-32.087
1316.198,-32.06
1316.283,-32.12
1316.383,-32.033
1316.485,-32.06
1316.585,-32.0
1316.683,-32.033
1316.784,-32.1
1316.891,-32.007
1316.989,-32.193
1317.092,-31.987
1317.215,-32.007
1317.297,-32.227
1317.399,-32.02
1317.501,-32.067
1317.629,-31.993
1317.724,-32.047
1317.809,-32.06
1317.910,-31.987
1318.043,-32.04
1318.114,-31.947
1318.217,-32.087
1318.320,-32.007
1318.428,-31.98
1318.526,-32.067
1318.628,-31.86
1318.754,-32.073
1318.832,-32.08
1318.959,-32.033
1319.052,-32.127
1319.168,-31.933
1319.242,-32.16
1319.339,-32.093
1319.464,-32.08
1319.550,-32.027
1319.677,-32.04
1319.679,-32.127
1319.787,-32.153
1319.882,-32.007
1319.984,-32.113
1320.164,-32.107
1320.172,-32.14
1610.293,-32.053
1610.391,-32.033
1610.471,-32.067
1610.578,-32.007
1610.676,-32.0
1610.779,-32.107
1610.891,-32.027
1610.984,-32.147
1611.090,-32.08
1611.189,-32.007
1611.302,-32.073
1611.401,-32.087
1611.494,-32.187
1611.596,-32.0
1611.699,-32.067
1611.803,-31.92
1611.907,-32.107
1612.007,-32.12
1612.130,-32.08
1612.264,-32.06
1612.315,-31.847
1612.416,-32.02
1612.476,-32.06
1612.622,-32.04
1612.727,-32.207
1612.787,-32.007
1612.929,-31.933
1612.994,-32.053
1613.139,-32.107
1613.167,-32.18
1613.264,-32.047
1613.462,-32.107
1613.480,-32.16
1613.573,-32.113
1613.668,-32.133
1613.773,-32.087
1613.872,-32.067
1613.977,-32.087
1614.079,-32.053
1614.197,-32.073
1614.262,-32.047
1614.381,-32.067
1614.464,-32.027
1614.567,-32.007
1614.676,-32.06
1614.771,-32.12
1614.875,-31.993
1614.977,-32.033
1615.081,-32.08
1615.206,-32.073
1615.302,-32.02
1615.413,-31.973
1615.489,-32.047
1615.595,-32.08
1615.711,-32.007
1615.796,-32.093
1615.898,-32.053
1616.001,-32.073
1616.105,-32.08
1616.205,-32.06
1616.308,-32.107
1616.412,-31.847
1616.516,-32.087
1616.614,-32.133
1616.717,-32.107
1616.818,-32.1
1616.923,-32.1
