Time Lapsed,Temperature
1014.355,29.92
1014.357,29.84
1014.459,29.88
1014.561,29.88
1014.662,29.87
1014.764,29.87
1014.868,29.9
1014.971,29.87
1015.074,29.85
1015.175,29.9
1015.277,29.85
1015.396,29.87
1015.450,29.88
1015.584,29.87
1015.685,29.87
1015.809,29.88
1015.890,29.9
1015.993,29.85
1016.096,29.92
1016.131,29.87
1016.226,29.87
1016.325,29.85
1016.427,29.93
1016.531,29.9
1016.633,29.87
1016.733,29.87
1016.822,29.88
1016.940,29.85
1017.041,29.9
1017.145,29.85
1017.236,29.88
1017.326,29.87
1017.426,29.87
1017.531,29.85
1017.645,29.87
1017.742,29.87
1017.838,29.87
1017.940,29.85
1018.041,29.85
1018.143,29.87
1018.248,29.87
1018.351,29.81
1018.452,29.88
1018.555,29.84
1018.656,29.85
1018.760,29.85
1018.862,29.84
1018.963,29.87
1019.073,29.87
1019.167,29.9
1019.270,29.9
1019.374,29.88
1019.484,29.87
1019.581,29.84
1019.650,29.87
1019.783,29.88
1019.886,29.85
1019.913,29.85
1020.090,29.85
1020.118,29.85
1070.216,29.82
1070.319,29.84
1070.422,29.84
1070.516,29.85
1070.628,29.87
1070.730,29.87
1070.810,29.85
1070.917,29.84
1071.019,29.85
1071.124,29.81
1071.222,29.88
1071.322,29.87
1071.421,29.85
1071.528,29.84
1071.645,29.87
1071.734,29.85
1071.830,29.85
1071.933,29.87
1072.057,29.85
1072.138,29.84
1072.239,29.85
1072.381,29.88
1072.447,29.84
1072.547,29.87
1072.654,29.84
1072.760,29.82
1072.859,29.84
1072.957,29.84
1073.059,29.85
1073.162,29.84
1073.265,29.87
1073.367,29.82
1073.483,29.87
1073.570,29.81
1073.673,29.87
1073.776,29.85
1073.894,29.87
1073.981,29.87
1074.009,29.82
1074.107,29.82
1074.217,29.87
1074.314,29.84
1074.414,29.84
1074.595,29.82
1074.603,29.77
1074.722,29.82
1074.800,29.84
1074.903,29.87
1075.006,29.84
1075.108,29.81
1075.205,29.82
1075.320,29.85
1075.416,29.84
1075.521,29.79
1075.619,29.84
1075.731,29.87
1075.830,29.84
1075.927,29.84
1076.028,29.84
1076.131,29.84
1076.234,29.84
1076.337,29.82
1076.439,29.84
1076.542,29.85
1076.643,29.84
1076.746,29.84
1076.847,29.82
1076.951,29.84
1077.052,29.81
1077.156,29.85
1077.258,29.84
1077.364,29.87
1077.462,29.82
1077.568,29.84
1077.597,29.82
1077.695,29.82
1077.793,29.84
1077.891,29.81
1078.006,29.81
1078.105,29.84
1078.203,29.84
1078.300,29.81
1078.407,29.77
1078.510,29.77
1078.627,29.79
1078.692,29.77
1078.795,29.81
1078.896,29.79
1078.998,29.79
1079.105,29.81
1079.204,29.81
1079.306,29.79
1079.409,29.81
1079.516,29.82
1079.614,29.81
1079.728,29.82
1079.817,29.82
1079.920,29.84
1080.021,29.82
1080.141,29.79
1130.228,29.79
1130.331,29.82
1130.432,29.79
1130.533,29.81
1130.637,29.77
1130.741,29.77
1130.841,29.82
1130.945,29.77
1131.003,29.82
1131.152,29.82
1131.252,29.81
1131.354,29.82
1131.382,29.81
1131.568,29.84
1131.586,29.77
1131.687,29.77
1131.866,29.81
1131.894,29.79
1132.002,29.79
1132.099,29.82
1132.198,29.81
1132.302,29.81
1132.403,29.81
1132.481,29.82
1132.583,29.79
1132.687,29.81
1132.788,29.81
1132.890,29.77
1132.991,29.81
1133.094,29.82
1133.198,29.77
1133.300,29.79
1133.406,29.79
1133.504,29.81
1133.607,29.81
1133.710,29.81
1133.815,29.81
1133.923,29.81
1134.021,29.77
1134.140,29.77
1134.229,29.77
1134.325,29.81
1134.425,29.81
1134.551,29.77
1134.633,29.82
1134.732,29.82
1134.834,29.82
1134.874,29.82
1135.040,29.79
1135.143,29.79
1135.171,29.76
1135.347,29.77
1135.376,29.81
1135.472,29.79
1135.577,29.81
1135.680,29.79
1135.783,29.76
1135.883,29.79
1135.976,29.81
1136.088,29.79
1136.190,29.79
1136.269,29.79
1136.389,29.76
1136.472,29.77
1136.577,29.77
1136.673,29.79
1136.782,29.77
1136.887,29.79
1136.986,29.77
1137.089,29.77
1137.193,29.81
1137.293,29.77
1137.394,29.79
1137.497,29.76
1137.600,29.79
1137.702,29.77
1137.815,29.76
1137.906,29.77
1138.011,29.79
1138.112,29.76
1138.227,29.77
1138.315,29.77
1138.421,29.81
1138.523,29.77
1138.625,29.74
1138.727,29.79
1138.829,29.76
1138.931,29.77
1139.035,29.77
1139.061,29.76
1139.161,29.77
1139.340,29.81
1139.368,29.77
1139.471,29.76
1139.574,29.77
1139.677,29.76
1139.775,29.76
1139.876,29.81
1139.978,29.73
1140.065,29.82
1140.161,29.77
1190.284,29.74
1190.387,29.77
1190.487,29.74
1190.570,29.74
1190.692,29.77
1190.775,29.77
1190.878,29.74
1190.980,29.74
1191.081,29.77
1191.185,29.77
1191.286,29.77
1191.388,29.81
1191.491,29.77
1191.595,29.74
1191.695,29.77
1191.807,29.76
1191.902,29.74
1192.004,29.74
1192.106,29.74
1192.226,29.76
1192.315,29.74
1192.412,29.74
1192.540,29.74
1192.637,29.77
1192.721,29.77
1192.751,29.74
1192.925,29.71
1192.961,29.74
1193.060,29.73
1193.158,29.76
1193.266,29.74
1193.359,29.77
1193.540,29.77
1193.567,29.76
1193.665,29.76
1193.770,29.73
1193.850,29.71
1193.949,29.77
1194.063,29.77
1194.154,29.73
1194.257,29.71
1194.360,29.74
1194.476,29.74
1194.562,29.74
1194.666,29.74
1194.801,29.73
1194.871,29.73
1194.976,29.71
1195.075,29.74
1195.177,29.73
1195.280,29.76
1195.384,29.74
1195.486,29.73
1195.586,29.71
1195.715,29.74
1195.793,29.71
1195.900,29.74
1195.997,29.73
1196.125,29.76
1196.204,29.74
1196.311,29.76
1196.341,29.73
1196.509,29.71
1196.634,29.74
1196.652,29.73
1196.741,29.74
1196.841,29.74
1196.943,29.74
1197.043,29.74
1197.148,29.73
1197.253,29.73
1197.429,29.73
1197.457,29.71
1197.557,29.77
1197.660,29.73
1197.739,29.71
1197.840,29.74
1197.943,29.73
1198.149,29.74
1198.153,29.74
1198.253,29.71
1198.352,29.71
1198.472,29.76
1198.560,29.71
1198.660,29.71
1198.761,29.74
1198.885,29.71
1198.966,29.71
1199.074,29.73
1199.171,29.74
1199.278,29.73
1199.376,29.74
1199.478,29.74
1199.582,29.74
1199.688,29.74
1199.788,29.7
1199.889,29.71
1199.999,29.71
1200.094,29.71
1200.195,29.71
1250.310,29.74
1250.330,29.74
1250.502,29.73
1250.530,29.71
1250.630,29.7
1250.746,29.71
1250.833,29.7
1250.936,29.73
1251.045,29.73
1251.145,29.71
1251.242,29.7
1251.326,29.71
1251.449,29.71
1251.531,29.74
1251.629,29.74
1251.731,29.73
1251.838,29.71
1251.939,29.7
1252.040,29.73
1252.148,29.71
1252.244,29.71
1252.346,29.71
1252.447,29.71
1252.561,29.73
1252.657,29.76
1252.756,29.66
1252.858,29.73
1252.963,29.68
1253.062,29.73
1253.166,29.7
1253.268,29.68
1253.369,29.71
1253.472,29.74
1253.575,29.7
1253.678,29.68
1253.779,29.68
1253.883,29.73
1253.985,29.73
1254.025,29.7
1254.189,29.7
1254.292,29.73
1254.320,29.71
1254.420,29.68
1254.520,29.7
1254.622,29.68
1254.721,29.7
1254.834,29.71
1254.928,29.71
1255.033,29.68
1255.131,29.7
1255.238,29.71
1255.322,29.71
1255.418,29.68
1255.525,29.71
1255.622,29.71
1255.726,29.68
1255.829,29.7
1255.935,29.74
1256.033,29.73
1256.160,29.7
1256.237,29.71
1256.340,29.73
1256.443,29.71
1256.559,29.68
1256.646,29.71
1256.749,29.68
1256.852,29.7
1256.970,29.68
1257.058,29.66
1257.158,29.68
1257.261,29.66
1257.363,29.68
1257.467,29.68
1257.570,29.68
1257.670,29.71
1257.773,29.68
1257.877,29.68
1257.978,29.71
1258.116,29.68
1258.119,29.68
1258.208,29.71
1258.395,29.68
1258.413,29.68
1258.514,29.71
1258.614,29.66
1258.717,29.68
1258.807,29.7
1258.905,29.7
1259.026,29.65
1259.103,29.7
1259.207,29.66
1259.310,29.7
1259.412,29.71
1259.515,29.68
1259.616,29.71
1259.719,29.66
1259.820,29.7
1259.925,29.68
1260.027,29.63
1260.128,29.68
1310.233,29.7
1310.333,29.66
1310.433,29.66
1310.538,29.68
1310.644,29.7
1310.744,29.68
1310.846,29.68
1310.967,29.68
1311.051,29.66
1311.156,29.68
1311.255,29.66
1311.380,29.65
1311.460,29.66
1311.563,29.66
1311.702,29.68
1311.766,29.66
1311.795,29.62
1311.972,29.66
1311.999,29.68
1312.097,29.7
1312.199,29.66
1312.304,29.65
1312.405,29.65
1312.507,29.68
1312.610,29.65
1312.714,29.71
1312.805,29.68
1312.896,29.66
1312.996,29.65
1313.097,29.66
1313.217,29.68
1313.303,29.65
1313.406,29.63
1313.509,29.63
1313.633,29.68
1313.713,29.65
1313.834,29.65
1313.922,29.68
1314.021,29.65
1314.123,29.66
1314.193,29.65
1314.327,29.65
1314.429,29.68
1314.555,29.65
1314.644,29.66
1314.737,29.66
1314.839,29.65
1314.940,29.63
1315.054,29.66
1315.152,29.68
1315.247,29.68
1315.347,29.68
1315.450,29.63
1315.556,29.65
1315.655,29.62
1315.762,29.68
1315.786,29.66
1315.888,29.63
1315.988,29.65
1316.170,29.65
1316.198,29.62
1316.283,29.66
1316.383,29.63
1316.485,29.63
1316.585,29.65
1316.683,29.63
1316.784,29.62
1316.891,29.66
1316.989,29.66
1317.092,29.66
1317.215,29.66
1317.297,29.63
1317.399,29.63
1317.501,29.62
1317.629,29.66
1317.724,29.7
1317.809,29.65
1317.910,29.66
1318.043,29.65
1318.114,29.63
1318.217,29.63
1318.320,29.62
1318.428,29.68
1318.526,29.65
1318.628,29.66
1318.754,29.63
1318.832,29.65
1318.959,29.65
1319.052,29.66
1319.168,29.62
1319.242,29.65
1319.339,29.62
1319.464,29.62
1319.550,29.62
1319.677,29.66
1319.679,29.63
1319.787,29.63
1319.882,29.62
1319.984,29.6
1320.164,29.63
1320.172,29.62
1610.293,29.6
