Time,Acceleration_X
1131.586,-0.008
1131.687,-0.009
1131.866,-0.009
1131.894,-0.009
1132.002,-0.008
1132.099,-0.009
1132.198,-0.009
1132.302,-0.009
1132.403,-0.008
1132.481,-0.009
1132.583,-0.009
1132.687,-0.009
1132.788,-0.009
1132.890,-0.008
1132.991,-0.008
1133.094,-0.009
1133.198,-0.008
1133.300,-0.009
1133.406,-0.009
1133.504,-0.009
1133.607,-0.008
1133.710,-0.009
1133.815,-0.009
1133.923,-0.009
1134.021,-0.008
1134.140,-0.009
1134.229,-0.009
1134.325,-0.009
1134.425,-0.009
1134.551,-0.009
1134.633,-0.009
1134.732,-0.008
1134.834,-0.009
1134.874,-0.008
1135.040,-0.009
1135.143,-0.008
1135.171,-0.009
1135.347,-0.009
1135.376,-0.008
1135.472,-0.008
1135.577,-0.008
1135.680,-0.008
1135.783,-0.009
1135.883,-0.008
1135.976,-0.009
1136.088,-0.008
1136.190,-0.009
1136.269,-0.01
1136.389,-0.009
1136.472,-0.009
1136.577,-0.009
1136.673,-0.009
1136.782,-0.008
1136.887,-0.009
1136.986,-0.009
1137.089,-0.009
1137.193,-0.009
1137.293,-0.008
1137.394,-0.009
1137.497,-0.009
1137.600,-0.009
1137.702,-0.009
1137.815,-0.008
1137.906,-0.008
1138.011,-0.008
1138.112,-0.009
1138.227,-0.009
1138.315,-0.008
1138.421,-0.008
1138.523,-0.009
1138.625,-0.009
1138.727,-0.009
1138.829,-0.009
1138.931,-0.009
1139.035,-0.008
1139.061,-0.009
1139.161,-0.008
1139.340,-0.008
1139.368,-0.008
1139.471,-0.009
1139.574,-0.008
1139.677,-0.009
1139.775,-0.009
1139.876,-0.009
1139.978,-0.009
1140.065,-0.009
1140.161,-0.009
1190.284,-0.009
1190.387,-0.009
1190.487,-0.009
1190.570,-0.009
1190.692,-0.009
1190.775,-0.009
1190.878,-0.009
1190.980,-0.009
1191.081,-0.009
1191.185,-0.008
1191.286,-0.008
1191.388,-0.009
1191.491,-0.009
1191.595,-0.009
