Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:07:56.118,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.187, 11.980, 9.067, 27.68,,,,,,,,,,,,,,,,
 20:07:56.283,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.287, 12.080, 9.533, 27.69,,,,,,,,,,,,,,,,
 20:07:56.378,COM3,, -0.014, -0.011, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.260, 12.013, 9.380, 27.68,,,,,,,,,,,,,,,,
 20:07:56.417,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.133, 12.147, 9.340, 27.68,,,,,,,,,,,,,,,,
 20:07:56.526,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.187, 12.027, 8.967, 27.69,,,,,,,,,,,,,,,,
 20:07:56.623,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.253, 12.033, 9.187, 27.68,,,,,,,,,,,,,,,,
 20:07:56.720,COM3,, -0.014, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.133, 12.040, 9.373, 27.71,,,,,,,,,,,,,,,,
 20:07:56.835,COM3,, -0.014, -0.012, 1.003, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.207, 12.060, 9.273, 27.69,,,,,,,,,,,,,,,,
 20:07:56.932,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.073, 12.047, 9.333, 27.69,,,,,,,,,,,,,,,,
 20:07:57.029,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.140, 12.047, 9.400, 27.66,,,,,,,,,,,,,,,,
 20:07:57.125,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.200, 12.027, 9.173, 27.71,,,,,,,,,,,,,,,,
 20:07:57.219,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.153, 12.033, 9.273, 27.71,,,,,,,,,,,,,,,,
 20:07:57.316,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.133, 11.967, 9.300, 27.68,,,,,,,,,,,,,,,,
 20:07:57.411,COM3,, -0.014, -0.012, 1.000, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.240, 12.040, 9.467, 27.64,,,,,,,,,,,,,,,,
 20:07:57.520,COM3,, -0.014, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.267, 12.087, 9.167, 27.66,,,,,,,,,,,,,,,,
 20:07:57.631,COM3,, -0.013, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.180, 12.093, 9.293, 27.68,,,,,,,,,,,,,,,,
 20:07:57.728,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.193, 12.027, 9.387, 27.66,,,,,,,,,,,,,,,,
 20:07:57.824,COM3,, -0.014, -0.012, 1.003, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.213, 11.960, 9.153, 27.71,,,,,,,,,,,,,,,,
 20:07:57.929,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.213, 12.093, 9.273, 27.69,,,,,,,,,,,,,,,,
 20:07:58.012,COM3,, -0.013, -0.011, 1.000, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.107, 12.020, 8.847, 27.69,,,,,,,,,,,,,,,,
 20:07:58.113,COM3,, -0.013, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.013, 11.953, 9.160, 27.64,,,,,,,,,,,,,,,,
 20:07:58.216,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.193, 11.953, 9.340, 27.69,,,,,,,,,,,,,,,,
 20:07:58.323,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.231, -70.532, -32.180, 12.013, 9.160, 27.63,,,,,,,,,,,,,,,,
 20:07:58.431,COM3,, -0.013, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.180, 12.127, 9.073, 27.71,,,,,,,,,,,,,,,,
 20:07:58.529,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.060, 12.100, 8.927, 27.66,,,,,,,,,,,,,,,,
 20:07:58.625,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.200, 12.060, 9.227, 27.66,,,,,,,,,,,,,,,,
 20:07:58.729,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.280, 12.193, 9.200, 27.69,,,,,,,,,,,,,,,,
 20:07:58.851,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.147, 12.060, 9.207, 27.63,,,,,,,,,,,,,,,,
 20:07:58.947,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.173, 12.053, 9.180, 27.68,,,,,,,,,,,,,,,,
 20:07:59.035,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.053, 12.120, 8.653, 27.68,,,,,,,,,,,,,,,,
 20:07:59.156,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.233, 12.073, 9.213, 27.68,,,,,,,,,,,,,,,,
 20:07:59.252,COM3,, -0.014, -0.013, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.173, 11.967, 9.407, 27.69,,,,,,,,,,,,,,,,
 20:07:59.357,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.147, 12.007, 9.453, 27.68,,,,,,,,,,,,,,,,
 20:07:59.466,COM3,, -0.014, -0.011, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.113, 12.013, 9.307, 27.69,,,,,,,,,,,,,,,,
 20:07:59.562,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.093, 12.053, 9.273, 27.68,,,,,,,,,,,,,,,,
 20:07:59.661,COM3,, -0.014, -0.012, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.213, 12.093, 9.520, 27.68,,,,,,,,,,,,,,,,
 20:07:59.768,COM3,, -0.014, -0.013, 1.001, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.167, 12.093, 9.147, 27.66,,,,,,,,,,,,,,,,
 20:07:59.865,COM3,, -0.014, -0.012, 1.002, 0.000, 0.000, 0.000, 0.005, 0.225, -70.532, -32.080, 12.013, 9.120, 27.68,,,,,,,,,,,,,,,,
