Time Lapsed,Acceleration_Z
1073.162,1.002
1073.265,1.002
1073.367,1.003
1073.483,1.002
1073.570,1.001
1073.673,1.001
1073.776,1.001
1073.894,1.001
1073.981,1.001
1074.009,1.003
1074.107,1.001
1074.217,1.002
1074.314,1.001
1074.414,1.001
1074.595,1.003
1074.603,1.003
1074.722,1.001
1074.800,1.002
1074.903,1.002
1075.006,1.001
1075.108,1.002
1075.205,1.002
1075.320,1.002
1075.416,1.002
1075.521,1.002
1075.619,1.001
1075.731,1.001
1075.830,1.002
1075.927,1.003
1076.028,1.001
1076.131,1.002
1076.234,1.002
1076.337,1.001
1076.439,1.003
1076.542,1.002
1076.643,1.002
1076.746,1.002
1076.847,1.001
1076.951,1.002
1077.052,1.001
1077.156,1.001
1077.258,1.003
1077.364,1.0
1077.462,1.002
1077.568,1.002
1077.597,1.001
1077.695,1.002
1077.793,1.002
1077.891,1.002
1078.006,1.002
1078.105,1.002
1078.203,1.002
1078.300,1.001
1078.407,1.002
1078.510,1.002
1078.627,1.002
1078.692,1.001
1078.795,1.002
1078.896,1.001
1078.998,1.002
1079.105,1.001
1079.204,1.001
1079.306,1.003
1079.409,1.001
1079.516,1.001
1079.614,1.002
1079.728,1.001
1079.817,1.003
1079.920,1.001
1080.021,1.002
1080.141,1.002
1130.228,1.001
1130.331,1.002
1130.432,1.002
1130.533,1.001
1130.637,1.001
1130.741,1.002
1130.841,1.002
1130.945,1.002
1131.003,1.002
1131.152,1.003
1131.252,1.002
1131.354,1.003
1131.382,1.003
1131.568,1.001
1131.586,1.002
1131.687,1.001
1131.866,1.002
1131.894,1.002
1132.002,1.001
1132.099,1.002
1132.198,1.002
1132.302,1.001
1132.403,1.001
1132.481,1.001
1132.583,1.002
1132.687,1.003
1132.788,1.002
1132.890,1.003
1132.991,1.001
1133.094,1.001
1133.198,1.002
1133.300,1.001
1133.406,1.003
1133.504,1.002
1133.607,1.001
1133.710,1.002
1133.815,1.002
1133.923,1.002
1134.021,1.001
1134.140,1.002
1134.229,1.002
1134.325,1.0
1134.425,1.001
1134.551,1.001
1134.633,1.002
1134.732,1.002
1134.834,1.003
1134.874,1.002
1135.040,1.002
1135.143,1.001
1135.171,1.003
1135.347,1.001
1135.376,1.002
1135.472,1.003
1135.577,1.002
1135.680,1.002
1135.783,1.003
1135.883,1.003
1135.976,1.003
1136.088,1.001
1136.190,1.002
1136.269,1.001
1136.389,1.002
1136.472,1.002
1136.577,1.001
1136.673,1.002
1136.782,1.001
1136.887,1.002
1136.986,1.003
1137.089,1.003
1137.193,1.003
1137.293,1.001
1137.394,1.003
1137.497,1.002
1137.600,1.002
1137.702,1.001
1137.815,1.002
1137.906,1.003
1138.011,1.003
1138.112,1.001
1138.227,1.002
1138.315,1.001
1138.421,1.001
1138.523,1.001
1138.625,1.002
1138.727,1.003
1138.829,1.003
1138.931,1.005
1139.035,1.002
1139.061,1.001
1139.161,1.002
1139.340,1.001
1139.368,1.002
1139.471,1.002
1139.574,1.002
1139.677,1.002
1139.775,1.002
1139.876,1.002
1139.978,1.002
1140.065,1.002
1140.161,1.002
1190.284,1.001
1190.387,1.002
1190.487,1.002
1190.570,1.001
1190.692,1.002
1190.775,1.001
1190.878,1.001
1190.980,1.001
1191.081,1.002
1191.185,1.001
1191.286,1.001
1191.388,1.002
1191.491,1.001
1191.595,1.001
1191.695,1.002
1191.807,1.001
1191.902,1.003
1192.004,1.001
1192.106,1.002
1192.226,1.001
1192.315,1.001
1192.412,1.002
1192.540,1.001
1192.637,1.002
1192.721,1.002
1192.751,1.001
1192.925,1.002
1192.961,1.003
1193.060,1.002
1193.158,1.002
1193.266,1.0
1193.359,1.002
1193.540,1.003
1193.567,1.002
1193.665,1.001
1193.770,1.002
1193.850,1.003
1193.949,1.003
1194.063,1.001
1194.154,1.003
1194.257,1.002
1194.360,1.001
1194.476,1.003
1194.562,1.002
1194.666,1.001
1194.801,1.001
1194.871,1.002
1194.976,1.003
1195.075,1.001
1195.177,1.002
1195.280,1.001
1195.384,1.002
1195.486,1.002
1195.586,1.001
1195.715,1.004
1195.793,1.002
1195.900,1.003
1195.997,1.002
1196.125,1.0
1196.204,1.001
1196.311,1.002
1196.341,1.002
1196.509,1.002
1196.634,1.001
1196.652,1.002
1196.741,1.001
1196.841,1.002
1196.943,1.002
1197.043,1.002
1197.148,1.002
1197.253,1.002
1197.429,1.002
1197.457,1.002
1197.557,1.002
1197.660,1.002
1197.739,1.001
1197.840,1.002
1197.943,1.002
1198.149,1.002
1198.153,1.002
1198.253,1.001
1198.352,1.001
1198.472,1.002
1198.560,1.001
1198.660,1.002
1198.761,1.001
1198.885,1.002
1198.966,1.002
1199.074,1.0
1199.171,1.004
1199.278,1.003
1199.376,1.002
1199.478,1.001
1199.582,1.003
1199.688,1.001
1199.788,1.002
1199.889,1.001
1199.999,1.003
1200.094,1.001
1200.195,1.002
1250.310,1.002
1250.330,1.001
1250.502,1.003
1250.530,1.0
1250.630,1.001
1250.746,1.0
1250.833,1.001
1250.936,1.003
1251.045,1.001
1251.145,1.002
1251.242,1.001
1251.326,1.001
1251.449,1.002
1251.531,1.001
1251.629,1.002
1251.731,1.001
1251.838,1.001
1251.939,1.001
1252.040,1.001
1252.148,1.002
1252.244,1.002
1252.346,1.001
1252.447,1.0
1252.561,1.002
1252.657,1.002
1252.756,1.002
1252.858,1.003
1252.963,1.001
1253.062,1.001
1253.166,1.003
1253.268,1.001
1253.369,1.002
1253.472,1.002
1253.575,1.001
1253.678,1.002
1253.779,1.001
1253.883,1.002
1253.985,1.003
1254.025,1.002
1254.189,1.003
1254.292,1.002
1254.320,1.001
1254.420,1.002
1254.520,1.0
1254.622,1.001
1254.721,1.002
1254.834,1.001
1254.928,1.002
1255.033,1.001
1255.131,1.001
1255.238,1.001
1255.322,1.002
1255.418,1.002
1255.525,1.003
1255.622,1.002
1255.726,1.002
1255.829,1.001
1255.935,1.003
1256.033,1.002
1256.160,1.001
1256.237,1.002
1256.340,1.001
1256.443,1.001
1256.559,1.0
1256.646,1.002
1256.749,1.003
1256.852,1.001
1256.970,1.001
1257.058,1.001
1257.158,1.001
1257.261,1.003
1257.363,1.001
1257.467,1.002
1257.570,1.0
1257.670,1.003
1257.773,1.002
1257.877,1.001
1257.978,1.002
1258.116,1.002
1258.119,1.001
1258.208,1.003
1258.395,1.002
1258.413,1.002
1258.514,1.002
1258.614,1.001
1258.717,1.001
1258.807,1.0
1258.905,1.002
1259.026,1.002
1259.103,1.002
1259.207,1.002
1259.310,1.002
1259.412,1.0
1259.515,1.002
1259.616,1.002
1259.719,1.002
1259.820,1.001
1259.925,1.002
1260.027,1.001
1260.128,1.002
1310.233,1.001
1310.333,1.002
1310.433,1.002
1310.538,1.003
1310.644,1.0
1310.744,1.001
1310.846,1.002
1310.967,1.002
1311.051,1.001
1311.156,1.002
1311.255,1.002
1311.380,1.002
1311.460,1.004
1311.563,1.001
1311.702,1.002
1311.766,1.002
1311.795,1.001
1311.972,1.002
1311.999,1.001
1312.097,1.003
1312.199,1.001
1312.304,1.003
1312.405,1.002
1312.507,1.001
1312.610,1.001
1312.714,1.002
1312.805,1.001
1312.896,1.002
1312.996,1.0
1313.097,1.0
1313.217,1.001
1313.303,1.001
1313.406,1.002
1313.509,1.003
1313.633,1.003
1313.713,1.002
1313.834,1.001
1313.922,1.003
1314.021,1.001
1314.123,1.001
1314.193,1.002
1314.327,1.001
1314.429,1.002
1314.555,1.001
1314.644,1.002
1314.737,1.002
1314.839,1.001
1314.940,1.003
1315.054,1.001
1315.152,1.002
