Time Lapsed,Acceleration_Z
720.253,1.0
720.353,1.001
720.454,1.0
720.577,1.0
720.665,1.0
720.763,1.001
720.866,1.0
720.972,1.0
721.072,1.001
721.172,1.002
721.278,1.002
721.381,1.0
721.481,1.0
721.586,1.0
721.689,1.001
721.795,1.0
721.822,1.001
721.922,1.0
722.028,1.002
722.128,1.0
722.226,1.0
722.327,1.001
722.437,1.0
722.530,1.001
722.638,1.001
722.739,1.0
722.839,1.001
722.937,1.0
723.020,1.001
723.123,1.001
723.224,1.001
723.324,1.001
723.423,1.0
723.516,1.0
723.636,1.0
723.736,0.999
723.841,1.001
723.937,1.0
724.045,1.0
724.143,1.0
724.251,1.001
724.351,1.001
724.454,1.0
724.574,1.001
724.653,1.0
724.785,1.0
724.858,1.001
724.942,1.0
725.062,1.001
725.165,1.0
725.268,1.0
725.312,1.001
725.474,1.0
725.577,1.002
725.680,1.0
725.717,1.0
725.815,1.001
725.913,1.0
726.010,1.001
726.114,1.0
726.212,1.001
726.320,1.002
726.413,1.0
726.523,1.001
726.628,1.001
776.726,1.001
776.824,1.0
776.935,1.0
777.008,1.001
777.114,1.0
777.228,1.0
777.315,1.0
777.418,1.0
777.523,1.001
777.628,1.0
777.731,1.001
777.834,1.0
777.932,1.0
778.030,1.0
778.136,1.0
778.251,1.003
778.344,1.0
778.445,1.001
778.552,1.0
778.662,1.001
778.761,1.0
778.859,1.001
778.986,1.001
779.060,1.0
779.165,1.0
779.270,1.001
779.371,1.0
779.479,1.0
779.510,1.0
779.606,1.001
779.775,1.0
779.805,1.0
779.902,1.001
780.003,1.001
780.113,1.001
780.214,1.001
780.312,1.0
780.413,1.001
780.525,1.0
780.599,1.001
780.697,1.0
780.798,1.0
780.915,1.001
781.013,1.0
781.111,1.001
781.214,1.001
781.310,1.0
781.413,1.001
781.515,1.0
781.626,1.0
781.746,1.001
781.804,1.0
781.932,1.002
782.015,1.0
782.099,1.001
782.221,1.001
782.337,1.0
782.410,1.001
782.530,1.0
782.660,1.001
782.729,1.001
782.849,1.001
782.947,1.0
783.072,1.001
783.153,1.001
783.255,1.001
783.358,1.001
783.396,1.001
783.491,0.999
783.591,1.0
783.687,1.0
783.793,1.001
783.898,1.001
783.994,1.0
784.099,1.001
784.202,1.0
784.302,1.001
784.385,1.0
784.498,1.0
784.591,1.0
784.690,1.0
784.793,1.0
784.910,1.0
785.006,1.0
785.104,1.0
785.204,1.001
785.288,1.002
785.408,1.001
785.506,1.002
785.601,1.0
785.685,1.001
785.815,1.0
785.912,1.0
786.028,1.001
786.128,1.0
786.233,1.0
786.337,1.0
786.415,1.0
786.540,1.002
786.636,1.001
1076.721,1.001
1076.841,1.0
1076.940,1.001
1077.035,1.001
1077.140,1.001
1077.246,1.0
1077.280,1.001
1077.378,1.001
1077.476,1.001
1077.579,1.0
1077.682,1.0
1077.863,1.001
1077.891,1.0
1077.989,1.001
1078.094,1.001
1078.177,1.001
1078.295,1.001
1078.376,1.0
1078.479,1.0
1078.584,1.0
1078.687,1.0
1078.783,1.0
1078.881,1.0
1078.998,1.001
1079.094,1.001
1079.194,1.0
1079.275,1.002
1079.400,1.0
1079.501,1.001
1079.643,1.001
1079.709,1.0
1079.807,1.001
1079.869,0.999
1079.978,1.0
1080.084,1.0
1080.195,1.0
1080.298,1.0
1080.423,1.001
1080.511,1.0
1080.621,1.0
1080.668,1.001
1080.770,1.0
1080.866,1.0
1081.035,1.0
1081.158,1.0
1081.253,1.0
1081.280,1.0
1081.378,1.0
1081.481,1.002
1081.582,1.001
1081.685,1.0
1081.782,0.999
1081.881,1.001
1081.981,1.0
1082.067,1.002
1082.260,1.001
1082.266,1.0
1082.369,1.0
1082.479,1.0
1082.608,1.0
1082.677,1.001
1082.804,1.0
1082.866,1.001
1082.994,1.001
1083.077,1.0
1083.190,1.0
1083.319,1.001
1083.369,1.001
1083.496,1.002
1083.596,1.001
1083.685,1.001
1083.795,1.0
1083.898,1.001
1084.006,1.001
1084.104,1.001
1084.204,1.0
1084.309,1.001
1084.447,1.001
1084.523,1.0
1084.619,1.001
1084.733,1.0
1084.760,1.0
1084.859,1.002
1084.957,1.001
1085.057,1.0
1085.155,1.0
1085.265,0.999
1085.364,1.002
1085.464,1.0
1085.567,1.001
1085.667,1.0
1085.771,1.0
1085.858,1.002
1085.962,1.0
1086.062,1.001
1086.160,1.0
1086.268,1.0
1086.368,1.001
1086.467,1.0
1086.570,1.001
1086.670,1.001
1136.771,1.0
1136.873,1.001
1136.993,1.001
1137.103,1.001
1137.180,1.001
1137.263,1.0
1137.405,1.0
1137.489,1.0
1137.550,1.0
1137.695,1.0
1137.798,1.0
1137.900,1.002
1137.967,1.002
1138.069,1.001
1138.212,1.0
1138.310,1.0
1138.378,1.0
1138.484,1.001
1138.543,1.001
1138.646,1.001
1138.744,1.0
1138.854,1.002
1138.940,1.001
1139.045,1.001
1139.143,1.0
1139.241,1.001
1139.349,1.0
1139.444,1.001
1139.567,1.001
1139.653,1.0
1139.750,1.0
1139.854,1.0
1139.979,1.0
1140.055,1.0
1140.184,1.001
1140.261,1.001
1140.344,1.0
1140.466,1.001
1140.569,1.0
1140.670,1.001
1140.766,1.001
1140.868,1.001
1140.969,1.0
1141.079,1.0
1141.179,1.0
1141.277,1.001
1141.378,1.0
1141.481,1.0
1141.547,1.001
1141.695,1.001
1141.792,1.001
1141.854,1.0
1141.957,1.002
1142.062,1.0
1142.138,1.002
1142.239,1.001
1142.341,1.0
1142.440,1.001
1142.530,1.001
1142.631,1.0
1142.751,1.0
1142.849,1.0
1142.945,1.001
1143.042,1.001
1143.143,1.0
1143.241,1.0
1143.334,1.0
1143.439,1.001
1143.532,1.001
1143.631,1.001
1143.736,1.001
1143.844,1.001
1143.942,1.001
1144.043,1.0
1144.148,1.001
1144.251,1.001
1144.351,1.0
1144.459,1.001
1144.555,1.0
1144.658,1.001
1144.760,1.001
1144.861,0.999
1144.972,1.001
1145.079,1.0
1145.168,1.0
1145.273,1.001
1145.381,1.0
1145.491,1.0
1145.587,1.002
1145.685,1.0
1145.783,1.0
1145.893,1.0
1145.922,1.002
1146.097,1.0
1146.126,1.0
1146.229,1.001
1146.329,1.0
1146.430,1.001
1146.609,0.999
1146.640,1.001
1196.738,1.001
1196.841,1.001
1196.940,1.001
1197.018,1.001
1197.123,1.001
1197.219,1.0
1197.329,1.001
1197.429,1.001
1197.530,1.001
1197.652,1.001
1197.741,1.0
1197.842,1.0
1197.940,1.0
1198.038,1.0
1198.141,1.0
1198.239,1.0
1198.342,1.0
1198.454,1.0
1198.550,1.001
1198.653,1.0
1198.758,1.002
1198.864,1.0
1198.959,1.0
1199.059,1.001
1199.165,1.0
1199.263,1.0
1199.366,1.0
1199.491,1.001
1199.577,1.001
1199.679,1.0
1199.805,1.0
1199.810,1.001
1199.923,1.0
1200.087,1.001
1200.116,1.001
1200.224,1.0
1200.324,1.002
1200.420,1.001
1200.525,1.001
1200.619,1.001
1200.722,1.001
1200.829,1.0
1200.927,1.001
1201.008,1.0
1201.108,1.001
1201.212,1.0
1201.326,1.001
1201.415,1.001
1201.516,1.0
1201.619,1.002
1201.739,1.0
1201.837,1.001
1201.932,1.001
1202.033,1.0
1202.136,1.001
