Time Lapsed,Magnetic field Z
1198.038,16.867
1198.141,17.247
1198.239,17.367
1198.342,16.993
1198.454,17.187
1198.550,16.88
1198.653,16.973
1198.758,17.087
1198.864,17.233
1198.959,17.033
1199.059,16.687
1199.165,17.26
1199.263,17.067
1199.366,17.28
1199.491,17.2
1199.577,16.793
1199.679,17.173
1199.805,17.133
1199.810,17.307
1199.923,17.2
1200.087,17.007
1200.116,17.1
1200.224,17.013
1200.324,16.933
1200.420,17.013
1200.525,17.12
1200.619,17.247
1200.722,17.293
1200.829,17.14
1200.927,17.193
1201.008,16.96
1201.108,17.187
1201.212,17.047
1201.326,17.18
1201.415,17.093
1201.516,17.267
1201.619,17.267
1201.739,16.953
1201.837,16.993
1201.932,17.107
1202.033,17.3
1202.136,16.947
1202.209,16.9
1202.337,16.96
1202.439,17.2
1202.548,17.333
1202.650,17.107
1202.753,17.06
1202.839,17.08
1202.964,17.047
1203.016,16.973
1203.165,17.36
1203.263,16.973
1203.368,17.007
1203.471,17.04
1203.572,17.153
1203.603,17.193
1203.702,17.14
1203.800,16.867
1203.900,17.173
1204.006,17.02
1204.111,17.08
1204.214,17.06
1204.312,17.48
1204.410,17.06
1204.510,17.18
1204.635,17.26
1204.697,16.96
1204.819,17.113
1204.896,17.513
1205.003,17.293
1205.101,17.167
1205.204,17.413
1205.310,17.347
1205.413,17.113
1205.510,17.147
1205.614,17.26
1205.736,17.12
1205.822,17.113
1205.923,17.113
1206.043,17.12
1206.148,17.273
1206.260,17.107
1206.337,17.14
1206.435,17.36
1206.501,17.267
1206.638,16.853
1256.739,17.06
1256.844,17.04
1256.949,17.2
1257.023,17.133
1257.150,17.02
1257.253,17.28
1257.354,17.093
1257.489,16.98
1257.491,16.973
1257.599,17.113
1257.695,17.08
1257.795,17.147
1257.891,17.093
1258.008,17.66
1258.104,17.313
1258.202,17.133
1258.310,17.14
1258.403,17.147
1258.498,17.253
1258.609,17.427
1258.687,17.153
1258.793,17.173
1258.891,17.167
1258.993,17.113
1259.097,17.1
1259.226,17.027
1259.300,17.047
1259.412,17.06
1259.508,17.287
1259.606,17.2
1259.717,16.84
1259.824,17.1
1259.945,17.08
1260.025,17.427
1260.119,17.327
1260.256,17.027
1260.332,17.073
1260.430,17.3
1260.559,17.453
1260.633,16.973
1260.701,17.08
1260.839,17.267
1260.940,16.833
1261.048,17.153
1261.148,17.173
1261.253,17.273
1261.337,17.34
1261.440,17.113
1261.491,17.227
1261.587,17.233
1261.685,17.227
1261.788,17.12
1261.886,17.28
1261.984,17.187
1262.097,17.353
1262.175,17.1
1262.293,17.253
1262.395,17.093
1262.472,17.02
1262.579,17.247
1262.679,17.187
1262.788,17.367
1262.893,17.373
1262.993,17.06
1263.087,17.327
1263.195,17.153
1263.295,17.173
1263.400,17.187
1263.498,16.953
1263.601,17.213
1263.702,17.413
1263.822,17.367
1263.912,17.18
1264.040,17.06
1264.118,17.147
1264.233,17.453
1264.327,17.187
1264.425,17.393
1264.527,17.0
1264.626,17.18
1264.729,17.493
1264.832,17.433
1264.888,17.26
1265.045,17.1
1265.072,17.147
1265.168,17.22
1265.341,16.813
1265.371,17.093
1265.474,17.267
1265.572,17.14
1265.682,17.327
1265.780,17.14
1265.883,17.253
1265.981,17.053
1266.070,17.02
1266.168,17.327
1266.265,17.02
1266.369,16.953
1266.467,17.32
1266.570,16.953
1266.673,17.18
1316.773,17.2
1316.878,17.053
1316.983,17.48
1317.091,16.733
1317.190,17.193
1317.288,17.1
1317.396,17.153
1317.523,17.22
1317.601,17.033
1317.697,17.227
1317.802,16.893
1317.908,17.207
1318.011,17.153
1318.108,16.86
1318.233,17.187
1318.320,17.367
1318.418,17.36
1318.515,17.127
1318.618,17.233
1318.719,17.1
1318.856,17.167
1318.858,17.24
1318.967,17.033
1319.059,17.273
1319.155,16.887
1319.256,17.213
1319.364,17.493
1319.467,17.127
1319.570,17.207
1319.653,17.44
1319.771,17.133
1319.871,17.307
1319.962,17.133
1320.067,17.02
1320.173,17.233
1320.256,17.273
1320.359,17.22
1320.481,17.153
1320.572,17.26
1320.670,17.233
1320.771,17.013
1320.876,17.16
1320.972,17.133
1321.079,17.267
1321.184,17.42
1321.285,16.947
1321.385,17.107
1321.486,16.92
1321.589,17.14
1321.694,17.04
1321.795,16.8
1321.930,17.08
1322.003,17.24
1322.101,16.793
1322.202,17.087
1322.317,17.227
1322.347,16.933
1322.515,17.227
1322.543,17.16
1322.714,17.0
1322.748,17.14
1322.846,17.233
1322.945,17.06
1323.045,17.033
1323.146,17.113
1323.244,17.34
1323.353,17.14
1323.442,17.247
