Time Lapsed,Absolute_Acceleration
1081.582,1.424
1081.685,1.424
1081.782,1.425
1081.881,1.425
1081.981,1.424
1082.067,1.424
1082.260,1.424
1082.266,1.424
1082.369,1.424
1082.479,1.424
1082.608,1.424
1082.677,1.425
1082.804,1.424
1082.866,1.424
1082.994,1.424
1083.077,1.424
1083.190,1.424
1083.319,1.424
1083.369,1.425
1083.496,1.425
1083.596,1.424
1083.685,1.424
1083.795,1.424
1083.898,1.424
1084.006,1.425
1084.104,1.425
1084.204,1.425
1084.309,1.425
1084.447,1.424
1084.523,1.425
1084.619,1.424
1084.733,1.424
1084.760,1.424
1084.859,1.425
1084.957,1.425
1085.057,1.424
1085.155,1.424
1085.265,1.424
1085.364,1.425
1085.464,1.424
1085.567,1.424
1085.667,1.424
1085.771,1.424
1085.858,1.424
1085.962,1.424
1086.062,1.425
1086.160,1.424
1086.268,1.424
1086.368,1.424
1086.467,1.424
1086.570,1.424
1086.670,1.424
1136.771,1.424
1136.873,1.424
1136.993,1.424
1137.103,1.424
1137.180,1.424
1137.263,1.424
1137.405,1.425
1137.489,1.425
1137.550,1.425
1137.695,1.425
1137.798,1.424
1137.900,1.424
1137.967,1.424
1138.069,1.424
1138.212,1.425
1138.310,1.424
1138.378,1.425
1138.484,1.425
1138.543,1.424
1138.646,1.424
1138.744,1.424
1138.854,1.424
1138.940,1.425
1139.045,1.425
1139.143,1.425
1139.241,1.425
1139.349,1.424
1139.444,1.425
1139.567,1.424
1139.653,1.424
1139.750,1.424
1139.854,1.425
1139.979,1.425
1140.055,1.425
1140.184,1.425
1140.261,1.424
1140.344,1.424
1140.466,1.424
1140.569,1.424
1140.670,1.425
1140.766,1.425
1140.868,1.424
1140.969,1.425
1141.079,1.424
1141.179,1.424
1141.277,1.424
1141.378,1.425
1141.481,1.424
1141.547,1.424
1141.695,1.425
1141.792,1.424
1141.854,1.425
1141.957,1.424
1142.062,1.425
1142.138,1.425
1142.239,1.424
1142.341,1.424
1142.440,1.425
1142.530,1.424
1142.631,1.424
1142.751,1.425
1142.849,1.425
1142.945,1.424
1143.042,1.424
1143.143,1.424
1143.241,1.424
1143.334,1.425
1143.439,1.424
1143.532,1.424
1143.631,1.425
1143.736,1.425
1143.844,1.424
1143.942,1.424
1144.043,1.425
1144.148,1.424
1144.251,1.425
1144.351,1.425
1144.459,1.424
1144.555,1.424
1144.658,1.425
1144.760,1.425
1144.861,1.425
1144.972,1.424
1145.079,1.424
1145.168,1.424
1145.273,1.425
1145.381,1.425
1145.491,1.425
1145.587,1.424
1145.685,1.425
1145.783,1.425
1145.893,1.424
1145.922,1.424
1146.097,1.424
1146.126,1.425
1146.229,1.424
1146.329,1.424
1146.430,1.426
1146.609,1.424
1146.640,1.425
1196.738,1.424
1196.841,1.424
1196.940,1.424
1197.018,1.425
1197.123,1.424
1197.219,1.425
1197.329,1.424
1197.429,1.424
1197.530,1.425
1197.652,1.425
1197.741,1.424
1197.842,1.425
1197.940,1.424
1198.038,1.424
1198.141,1.424
1198.239,1.424
1198.342,1.424
1198.454,1.425
1198.550,1.424
1198.653,1.425
1198.758,1.425
1198.864,1.424
1198.959,1.425
1199.059,1.425
1199.165,1.425
1199.263,1.425
1199.366,1.424
1199.491,1.424
1199.577,1.424
1199.679,1.424
1199.805,1.425
1199.810,1.424
1199.923,1.425
1200.087,1.424
1200.116,1.425
1200.224,1.424
1200.324,1.425
1200.420,1.424
1200.525,1.425
1200.619,1.425
1200.722,1.424
1200.829,1.425
1200.927,1.424
1201.008,1.425
1201.108,1.424
1201.212,1.425
1201.326,1.424
1201.415,1.425
1201.516,1.424
1201.619,1.425
1201.739,1.424
1201.837,1.424
1201.932,1.424
1202.033,1.424
1202.136,1.425
1202.209,1.424
1202.337,1.424
1202.439,1.424
1202.548,1.425
1202.650,1.424
1202.753,1.424
1202.839,1.425
1202.964,1.424
1203.016,1.425
1203.165,1.425
1203.263,1.425
1203.368,1.424
1203.471,1.424
1203.572,1.424
1203.603,1.424
1203.702,1.424
1203.800,1.424
1203.900,1.424
1204.006,1.425
1204.111,1.424
1204.214,1.425
1204.312,1.425
1204.410,1.424
1204.510,1.424
1204.635,1.424
1204.697,1.424
1204.819,1.424
1204.896,1.425
1205.003,1.425
1205.101,1.424
1205.204,1.425
1205.310,1.425
1205.413,1.425
1205.510,1.424
1205.614,1.424
1205.736,1.425
1205.822,1.424
1205.923,1.425
1206.043,1.424
1206.148,1.424
1206.260,1.425
1206.337,1.425
1206.435,1.425
1206.501,1.425
1206.638,1.425
1256.739,1.425
1256.844,1.424
1256.949,1.424
1257.023,1.424
1257.150,1.425
1257.253,1.424
1257.354,1.424
1257.489,1.424
1257.491,1.424
1257.599,1.425
1257.695,1.424
1257.795,1.425
1257.891,1.424
1258.008,1.425
1258.104,1.425
1258.202,1.425
1258.310,1.424
1258.403,1.424
1258.498,1.425
1258.609,1.424
1258.687,1.424
1258.793,1.424
1258.891,1.424
1258.993,1.424
1259.097,1.424
1259.226,1.424
1259.300,1.424
1259.412,1.424
1259.508,1.424
1259.606,1.425
1259.717,1.424
1259.824,1.424
1259.945,1.424
1260.025,1.424
1260.119,1.424
1260.256,1.424
1260.332,1.424
1260.430,1.425
1260.559,1.425
1260.633,1.424
1260.701,1.425
1260.839,1.425
1260.940,1.424
1261.048,1.424
1261.148,1.424
1261.253,1.424
1261.337,1.424
1261.440,1.424
1261.491,1.424
1261.587,1.424
1261.685,1.425
1261.788,1.424
1261.886,1.425
1261.984,1.425
1262.097,1.424
1262.175,1.425
1262.293,1.424
1262.395,1.425
1262.472,1.424
1262.579,1.424
1262.679,1.424
1262.788,1.425
1262.893,1.424
1262.993,1.425
1263.087,1.425
1263.195,1.425
1263.295,1.425
1263.400,1.424
1263.498,1.424
1263.601,1.424
1263.702,1.424
1263.822,1.424
1263.912,1.424
1264.040,1.424
1264.118,1.424
1264.233,1.425
1264.327,1.424
1264.425,1.424
1264.527,1.425
1264.626,1.424
1264.729,1.425
1264.832,1.424
1264.888,1.424
1265.045,1.424
1265.072,1.424
1265.168,1.424
1265.341,1.425
1265.371,1.424
1265.474,1.424
1265.572,1.424
1265.682,1.424
1265.780,1.425
1265.883,1.424
1265.981,1.425
1266.070,1.424
1266.168,1.424
1266.265,1.425
1266.369,1.424
1266.467,1.425
1266.570,1.424
1266.673,1.424
1316.773,1.425
1316.878,1.425
1316.983,1.424
1317.091,1.424
1317.190,1.424
1317.288,1.424
1317.396,1.424
1317.523,1.425
1317.601,1.424
1317.697,1.424
1317.802,1.425
1317.908,1.424
1318.011,1.424
1318.108,1.424
1318.233,1.424
1318.320,1.425
1318.418,1.424
1318.515,1.424
1318.618,1.424
1318.719,1.424
1318.856,1.426
1318.858,1.425
1318.967,1.425
1319.059,1.424
1319.155,1.424
1319.256,1.424
1319.364,1.425
1319.467,1.424
1319.570,1.424
1319.653,1.424
1319.771,1.424
1319.871,1.424
1319.962,1.424
1320.067,1.425
1320.173,1.424
1320.256,1.424
1320.359,1.425
1320.481,1.424
1320.572,1.425
1320.670,1.424
