Time Lapsed,Magnetic field X
664.854,-36.127
664.957,-36.087
665.059,-36.08
665.157,-36.02
665.265,-36.16
665.344,-36.16
665.442,-36.187
665.548,-36.013
665.646,-36.12
665.755,-36.027
665.849,-36.033
665.952,-36.133
666.055,-36.133
666.168,-36.107
666.287,-36.053
666.361,-36.107
666.462,-36.067
666.570,-36.147
666.665,-36.1
716.768,-36.08
716.856,-36.12
716.976,-35.987
717.077,-35.947
717.180,-35.953
717.282,-36.087
717.385,-36.08
717.503,-36.087
717.592,-36.033
717.653,-36.04
717.760,-36.093
717.886,-36.067
718.005,-36.033
718.033,-36.06
718.204,-35.947
718.231,-35.947
718.410,-36.133
718.439,-36.127
718.540,-36.113
718.636,-36.173
718.744,-36.027
718.844,-36.14
718.944,-36.073
719.033,-36.027
719.131,-36.073
719.233,-36.093
719.331,-36.04
719.437,-36.12
719.565,-36.113
719.638,-36.087
719.744,-35.973
719.842,-36.047
719.949,-36.147
720.047,-36.113
720.165,-36.047
720.253,-35.94
720.353,-36.047
720.454,-36.06
720.577,-36.053
720.665,-36.113
720.763,-35.913
720.866,-36.067
720.972,-36.047
721.072,-36.047
721.172,-36.08
721.278,-36.127
721.381,-35.973
721.481,-36.067
721.586,-36.007
721.689,-36.127
721.795,-36.053
721.822,-36.087
721.922,-36.153
722.028,-36.047
722.128,-36.053
722.226,-36.127
722.327,-36.02
722.437,-36.147
722.530,-36.147
722.638,-36.133
722.739,-36.12
722.839,-36.033
722.937,-36.1
723.020,-36.107
723.123,-36.127
723.224,-36.087
723.324,-36.053
723.423,-36.14
723.516,-36.14
723.636,-36.18
723.736,-36.0
723.841,-36.02
723.937,-36.127
724.045,-35.98
724.143,-36.053
724.251,-36.127
724.351,-36.04
724.454,-36.133
724.574,-36.107
724.653,-35.993
724.785,-36.107
724.858,-36.153
724.942,-36.013
725.062,-36.0
725.165,-36.073
725.268,-36.04
725.312,-36.0
725.474,-35.967
725.577,-36.113
725.680,-36.013
725.717,-35.867
725.815,-36.0
725.913,-36.173
726.010,-36.073
726.114,-36.033
726.212,-36.073
726.320,-36.107
726.413,-36.053
726.523,-35.96
726.628,-35.927
776.726,-35.98
776.824,-36.127
776.935,-36.087
777.008,-36.047
777.114,-36.027
777.228,-35.973
777.315,-36.093
777.418,-36.0
777.523,-36.053
777.628,-36.0
777.731,-36.06
777.834,-36.16
777.932,-36.073
778.030,-36.04
778.136,-36.147
778.251,-36.173
778.344,-35.96
778.445,-36.053
778.552,-35.967
778.662,-36.087
778.761,-36.053
778.859,-36.1
778.986,-36.1
779.060,-36.1
779.165,-36.027
779.270,-36.073
779.371,-35.947
779.479,-36.007
779.510,-35.967
779.606,-36.087
779.775,-36.033
779.805,-36.113
779.902,-36.12
780.003,-36.213
780.113,-35.987
780.214,-36.027
780.312,-36.127
780.413,-36.153
780.525,-36.08
780.599,-36.027
780.697,-36.16
780.798,-35.947
780.915,-35.947
781.013,-36.213
781.111,-36.06
781.214,-36.1
781.310,-36.153
781.413,-36.1
781.515,-36.1
781.626,-36.133
781.746,-36.047
781.804,-36.007
781.932,-36.027
782.015,-36.067
782.099,-36.093
782.221,-36.153
782.337,-36.107
782.410,-35.96
782.530,-36.067
782.660,-35.96
782.729,-35.987
782.849,-36.147
782.947,-36.18
783.072,-36.12
783.153,-36.08
783.255,-36.08
783.358,-36.047
783.396,-36.1
783.491,-36.04
783.591,-36.147
783.687,-36.093
783.793,-36.033
783.898,-36.007
783.994,-36.027
784.099,-35.98
784.202,-35.973
784.302,-36.16
784.385,-36.147
784.498,-36.093
784.591,-36.107
784.690,-36.113
784.793,-36.127
784.910,-36.0
785.006,-36.08
785.104,-35.933
785.204,-36.007
785.288,-36.16
785.408,-36.027
785.506,-36.013
785.601,-36.08
785.685,-36.06
785.815,-36.033
785.912,-36.133
786.028,-36.087
786.128,-35.853
786.233,-35.92
786.337,-36.14
786.415,-36.067
786.540,-36.04
786.636,-35.987
1076.721,-35.96
1076.841,-36.033
1076.940,-36.08
1077.035,-36.007
1077.140,-35.927
1077.246,-36.033
1077.280,-36.113
1077.378,-36.053
1077.476,-36.107
1077.579,-36.1
1077.682,-36.12
1077.863,-36.06
1077.891,-36.167
1077.989,-36.067
1078.094,-36.12
1078.177,-36.22
1078.295,-36.04
1078.376,-36.047
1078.479,-36.107
1078.584,-36.027
1078.687,-35.98
1078.783,-35.987
1078.881,-36.193
1078.998,-36.107
1079.094,-36.053
1079.194,-36.0
1079.275,-36.033
1079.400,-35.993
1079.501,-36.067
