Time,Magnetic field Z
 22:41:45.084,17.273
 22:41:45.112,17.400
 22:41:45.211,17.093
 22:41:45.317,17.067
 22:41:45.417,17.393
 22:41:45.516,17.167
 22:41:45.617,17.267
 22:41:45.727,17.293
 22:41:45.819,17.320
 22:41:45.927,17.320
 22:41:46.028,17.313
 22:41:46.128,17.033
 22:41:46.227,17.287
 22:41:46.309,17.507
 22:41:46.412,17.307
 22:41:46.514,17.067
 22:41:46.614,17.127
 22:41:46.713,17.453
 22:41:46.806,17.273
 22:41:46.926,17.367
 22:41:47.026,17.100
 22:41:47.130,17.087
 22:41:47.227,17.207
 22:41:47.334,17.187
 22:41:47.432,16.927
 22:41:47.541,16.867
 22:41:47.641,16.933
 22:41:47.743,17.260
 22:41:47.864,17.247
 22:41:47.942,17.180
 22:41:48.074,17.333
 22:41:48.147,17.073
 22:41:48.231,17.127
 22:41:48.352,17.260
 22:41:48.455,17.420
 22:41:48.558,17.260
 22:41:48.601,16.927
 22:41:48.764,17.493
 22:41:48.866,17.193
 22:41:48.970,16.920
 22:41:49.007,17.340
 22:41:49.104,17.473
 22:41:49.203,17.273
 22:41:49.299,17.233
 22:41:49.403,17.273
 22:41:49.501,17.100
 22:41:49.610,17.153
 22:41:49.702,17.320
 22:41:49.812,17.107
 22:41:49.918,17.293
 22:41:50.016,17.133
 22:41:50.114,17.393
 22:41:50.225,17.093
 22:41:50.298,17.227
 22:41:50.403,17.380
 22:41:50.517,17.273
 22:41:50.604,17.007
 22:41:50.707,17.260
 22:41:50.812,17.047
 22:41:50.917,17.087
 22:41:51.020,17.267
 22:41:51.123,17.180
 22:41:51.221,17.013
 22:41:51.320,17.267
 22:41:51.425,17.040
 22:41:51.540,17.147
 22:41:51.633,17.160
 22:41:51.735,17.207
 22:41:51.841,17.107
 22:41:51.951,16.993
 22:41:52.051,17.247
 22:41:52.148,17.327
 22:41:52.275,17.293
 22:41:52.349,16.813
 22:41:52.454,17.113
 22:41:52.559,17.180
 22:41:52.661,17.167
 22:41:52.768,17.140
 22:41:52.799,17.153
 22:41:52.896,17.047
 22:41:53.065,17.067
 22:41:53.094,17.207
 22:41:53.191,17.173
 22:41:53.293,17.093
 22:41:53.402,17.227
 22:41:53.503,17.053
 22:41:53.602,17.300
 22:41:53.703,17.353
 22:41:53.815,17.167
 22:41:53.888,17.020
 22:41:53.986,16.887
 22:41:54.087,17.200
 22:41:54.205,17.307
 22:41:54.302,17.087
 22:41:54.400,17.173
 22:41:54.503,17.020
 22:41:54.600,16.807
 22:41:54.703,17.207
 22:41:54.804,17.167
 22:41:54.916,17.080
 22:41:55.035,17.220
 22:41:55.093,16.660
