Time,Temperature
 23:15:00.179,26.700
 23:15:00.261,26.750
 23:15:00.379,26.730
 23:15:00.476,26.710
 23:15:00.654,26.750
 23:15:00.658,26.760
 23:15:00.780,26.730
 23:15:00.863,26.710
 23:15:00.961,26.710
 23:15:01.063,26.700
 23:15:01.167,26.760
 23:15:01.282,26.730
 23:15:01.371,26.730
 23:15:01.473,26.680
 23:15:01.576,26.760
 23:15:01.694,26.710
 23:15:01.789,26.730
 23:15:01.886,26.760
 23:15:02.017,26.730
 23:15:02.092,26.780
 23:15:02.191,26.730
 23:15:02.254,26.730
 23:15:02.353,26.750
 23:15:02.497,26.750
 23:15:02.599,26.710
 23:15:02.666,26.730
 23:15:02.775,26.730
 23:15:02.874,26.710
 23:15:03.008,26.730
 23:15:03.120,26.730
 23:15:03.213,26.700
 23:15:03.285,26.750
 23:15:03.419,26.780
 23:15:03.531,26.730
 23:15:03.561,26.730
 23:15:03.692,26.730
 23:15:03.754,26.750
 23:15:03.856,26.730
 23:15:03.963,26.730
 23:15:04.065,26.710
 23:15:04.159,26.730
 23:15:04.262,26.760
 23:15:04.365,26.730
 23:15:04.465,26.710
 23:15:04.589,26.750
 23:15:04.647,26.710
 23:15:04.750,26.710
 23:15:04.858,26.730
 23:15:04.958,26.710
 23:15:05.063,26.700
 23:15:05.160,26.730
 23:15:05.262,26.750
 23:15:05.368,26.730
 23:15:05.465,26.780
 23:15:05.569,26.730
 23:15:05.691,26.760
 23:15:05.783,26.760
 23:15:05.880,26.760
 23:15:05.978,26.700
 23:15:06.104,26.760
 23:15:06.184,26.750
 23:15:06.285,26.760
 23:15:06.387,26.760
 23:15:06.497,26.710
 23:15:06.594,26.750
 23:15:06.690,26.750
 23:15:06.798,26.780
 23:15:06.908,26.730
 23:15:07.005,26.730
 23:15:07.105,26.710
 23:15:07.207,26.750
 23:15:07.305,26.750
 23:15:07.412,26.730
 23:15:07.474,26.760
 23:15:07.553,26.750
 23:15:07.655,26.730
 23:15:07.758,26.780
 23:15:07.862,26.730
 23:15:07.944,26.760
 23:15:08.042,26.760
 23:15:08.153,26.750
 23:15:08.263,26.760
 23:15:08.341,26.750
 23:15:08.440,26.780
 23:15:08.538,26.750
 23:15:08.642,26.730
 23:15:08.748,26.710
 23:15:08.847,26.710
 23:15:08.949,26.750
 23:15:09.053,26.710
 23:15:09.155,26.730
 23:15:09.270,26.730
 23:15:09.368,26.710
 23:15:09.460,26.760
 23:15:09.562,26.780
 23:15:09.664,26.760
 23:15:09.782,26.730
 23:15:09.878,26.760
 23:15:09.973,26.730
 23:15:10.075,26.760
 23:15:10.177,26.730
 23:15:10.289,26.780
 23:15:10.388,26.730
 23:15:10.486,26.780
 23:15:10.586,26.760
 23:15:10.689,26.810
 23:15:10.793,26.780
 23:15:10.837,26.750
 23:15:10.997,26.750
 23:15:11.098,26.760
 23:15:11.162,26.760
 23:15:11.228,26.750
 23:15:11.328,26.730
 23:15:11.429,26.760
