Time Lapsed,Absolute_Magnetic_Field
1197.530,41.803
1197.652,41.84
1197.741,41.903
1197.842,42.004
1197.940,41.875
1198.038,41.664
1198.141,41.922
1198.239,41.965
1198.342,41.814
1198.454,42.043
1198.550,41.71
1198.653,41.82
1198.758,41.886
1198.864,41.901
1198.959,41.761
1199.059,41.644
1199.165,41.972
1199.263,41.935
1199.366,41.969
1199.491,42.031
1199.577,41.643
1199.679,41.923
1199.805,41.828
1199.810,41.989
1199.923,41.906
1200.087,41.778
1200.116,41.826
1200.224,41.838
1200.324,41.783
1200.420,41.98
1200.525,41.896
1200.619,41.898
1200.722,41.857
1200.829,41.842
1200.927,41.953
1201.008,41.867
1201.108,41.942
1201.212,41.72
1201.326,41.963
1201.415,41.934
1201.516,41.93
1201.619,41.9
1201.739,41.778
1201.837,41.835
1201.932,41.849
1202.033,41.871
1202.136,41.871
1202.209,41.77
1202.337,41.758
1202.439,41.889
1202.548,41.968
1202.650,41.842
1202.753,41.719
1202.839,41.946
1202.964,41.896
1203.016,41.824
1203.165,42.048
1203.263,41.914
1203.368,41.876
1203.471,41.915
1203.572,41.856
1203.603,41.868
1203.702,41.893
1203.800,41.777
1203.900,41.996
1204.006,41.967
1204.111,41.856
1204.214,41.797
1204.312,42.055
1204.410,41.883
1204.510,41.955
1204.635,41.981
1204.697,41.771
1204.819,41.864
1204.896,41.993
1205.003,41.877
1205.101,41.839
1205.204,41.918
1205.310,42.127
1205.413,41.925
1205.510,41.901
1205.614,41.946
1205.736,41.933
1205.822,41.891
1205.923,41.957
1206.043,41.818
1206.148,42.039
1206.260,41.853
1206.337,41.906
1206.435,42.035
1206.501,41.871
1206.638,41.652
1256.739,41.895
1256.844,41.945
1256.949,41.875
1257.023,41.947
1257.150,41.819
1257.253,41.948
1257.354,41.92
1257.489,41.809
1257.491,41.74
1257.599,41.828
1257.695,41.921
1257.795,41.931
1257.891,41.949
1258.008,42.19
1258.104,41.861
1258.202,41.886
1258.310,41.977
1258.403,41.863
1258.498,42.004
1258.609,42.024
1258.687,41.846
1258.793,41.825
1258.891,41.899
1258.993,41.825
1259.097,41.855
1259.226,41.654
1259.300,41.719
1259.412,41.85
1259.508,41.952
1259.606,41.901
1259.717,41.668
1259.824,42.004
1259.945,41.86
1260.025,42.011
1260.119,42.017
1260.256,41.784
1260.332,41.675
1260.430,41.975
1260.559,42.075
1260.633,41.826
1260.701,41.815
1260.839,41.995
1260.940,41.758
1261.048,41.807
1261.148,41.893
1261.253,41.934
1261.337,41.968
1261.440,41.897
1261.491,41.802
1261.587,41.844
1261.685,41.901
1261.788,41.689
1261.886,41.874
1261.984,41.88
1262.097,41.981
1262.175,41.86
1262.293,41.891
1262.395,41.858
1262.472,41.877
1262.579,41.916
1262.679,41.937
1262.788,41.996
1262.893,42.105
1262.993,41.81
1263.087,42.016
1263.195,41.907
1263.295,41.934
1263.400,42.002
1263.498,41.69
1263.601,41.952
1263.702,41.948
1263.822,41.954
1263.912,41.939
1264.040,41.8
1264.118,41.921
1264.233,42.026
1264.327,41.93
1264.425,41.976
1264.527,41.817
1264.626,42.009
1264.729,41.952
1264.832,42.057
1264.888,41.942
1265.045,41.795
1265.072,41.868
1265.168,41.926
1265.341,41.85
1265.371,41.967
1265.474,42.056
1265.572,41.856
1265.682,42.021
1265.780,41.874
1265.883,41.94
1265.981,41.835
1266.070,41.681
1266.168,42.025
1266.265,41.767
1266.369,41.851
1266.467,41.947
1266.570,41.793
1266.673,41.943
1316.773,41.886
1316.878,41.824
1316.983,41.977
1317.091,41.627
1317.190,41.846
1317.288,41.904
1317.396,41.923
1317.523,41.904
1317.601,41.913
1317.697,41.93
1317.802,41.81
1317.908,42.005
1318.011,41.894
1318.108,41.543
1318.233,41.89
1318.320,41.965
1318.418,41.971
1318.515,41.9
1318.618,41.964
1318.719,41.874
1318.856,41.987
1318.858,41.939
1318.967,41.812
1319.059,41.892
1319.155,41.822
1319.256,41.947
1319.364,42.077
1319.467,41.836
1319.570,41.953
1319.653,42.044
1319.771,41.789
1319.871,41.831
1319.962,41.822
1320.067,41.878
1320.173,41.931
1320.256,41.922
1320.359,41.916
1320.481,41.891
1320.572,41.973
1320.670,41.914
1320.771,41.783
1320.876,41.82
1320.972,41.893
1321.079,41.956
1321.184,41.995
1321.285,41.778
1321.385,41.78
1321.486,41.828
1321.589,41.927
1321.694,41.823
1321.795,41.677
1321.930,41.866
1322.003,41.901
1322.101,41.738
1322.202,41.859
1322.317,42.01
1322.347,41.851
1322.515,41.919
1322.543,41.891
1322.714,41.829
1322.748,41.837
1322.846,41.826
1322.945,41.84
1323.045,41.869
1323.146,41.883
1323.244,42.03
1323.353,41.856
1323.442,41.965
1323.562,41.801
1323.658,41.791
1323.746,41.761
1323.854,41.934
1323.945,41.891
1324.050,41.709
1324.155,41.924
1324.253,41.983
1324.361,41.92
1324.479,41.979
1324.570,41.892
1324.641,41.989
1324.768,41.932
1324.846,41.843
1324.974,42.093
1325.074,41.824
1325.173,41.747
1325.285,42.019
1325.383,41.924
1325.486,41.829
1325.587,41.733
1325.695,41.807
1325.793,41.828
1325.888,41.926
1325.993,42.01
1326.092,41.727
1326.199,41.933
1326.317,41.887
1326.334,42.034
1326.503,42.049
1326.533,42.054
1326.635,41.805
1376.822,42.037
1376.849,41.959
1376.947,41.921
1377.052,41.937
1377.148,41.923
1377.250,41.836
1377.347,41.905
1377.447,41.984
1377.530,42.016
1377.653,42.013
1377.761,41.706
1377.839,41.833
1377.940,41.863
1378.059,42.051
1378.153,41.987
1378.251,41.833
1378.346,41.905
1378.435,41.88
1378.565,41.936
1378.655,41.814
1378.761,41.71
1378.863,41.885
1378.984,42.103
1379.062,41.929
1379.172,41.913
1379.256,41.825
1379.369,41.905
1379.472,41.935
1379.577,42.099
1379.677,41.984
1379.785,41.895
1379.888,41.703
1379.991,41.891
1380.086,41.839
1380.187,41.983
1380.290,41.992
1380.427,41.905
1380.430,41.869
1380.527,41.772
1380.631,41.908
1380.728,42.02
1380.837,41.96
1380.939,42.08
1381.035,41.849
1381.141,41.954
1381.246,41.876
1381.324,41.85
1381.427,41.986
1381.530,42.02
1381.630,41.923
1381.728,41.98
1381.829,41.907
1381.962,42.007
1382.065,41.971
1382.138,41.841
1382.243,41.775
1382.342,41.966
1382.447,41.955
1382.565,41.985
1382.653,41.852
1382.751,41.99
1382.851,41.919
1382.930,41.824
1383.067,41.922
1383.162,41.602
1383.261,41.847
1383.371,41.803
1383.467,41.827
1383.570,41.882
1383.633,41.793
1383.778,41.753
1383.878,41.992
1383.979,41.865
1384.111,41.955
1384.114,41.963
1384.212,41.915
1384.400,41.985
1384.417,41.819
1384.516,41.879
1384.616,42.037
1384.712,41.975
1384.812,41.928
1384.910,42.007
1385.030,42.02
1385.109,41.91
1385.211,41.74
1385.339,41.955
1385.415,42.022
1385.513,41.939
1385.616,41.978
1385.721,41.827
1385.822,41.788
1385.915,41.774
1386.030,41.835
1386.128,41.935
1386.239,41.838
1386.339,41.686
1386.437,41.959
1386.545,42.012
1386.652,41.971
1676.751,41.904
1676.847,41.656
1676.974,41.834
1677.050,41.801
1677.153,42.041
1677.255,41.987
1677.386,41.606
1677.491,41.808
1677.570,41.851
1677.711,41.909
1677.778,41.906
1677.805,41.78
1677.903,41.774
1678.003,41.838
1678.106,41.891
1678.207,41.915
1678.310,41.923
1678.410,41.777
1678.515,42.046
1678.611,41.82
1678.717,41.852
1678.812,41.919
1678.920,41.803
1678.996,41.847
1679.099,41.696
1679.224,41.877
1679.302,41.951
1679.398,41.905
1679.516,41.89
1679.616,41.836
1679.717,41.839
1679.815,41.947
1679.923,41.824
1680.030,41.893
1680.152,41.802
1680.224,41.929
1680.327,41.983
1680.430,41.728
1680.533,41.916
1680.650,41.845
1680.741,41.965
1680.847,41.883
1680.949,41.828
1681.016,41.699
1681.150,41.912
1681.255,41.8
1681.356,41.938
1681.459,41.872
1681.555,41.896
1681.658,41.872
1681.689,41.925
1681.805,41.801
1681.893,41.865
1681.994,41.91
1682.101,41.75
1682.189,41.998
1682.295,41.891
1682.403,41.881
1682.516,41.868
1682.589,41.884
1682.707,41.888
1682.793,41.941
1682.886,41.881
1682.996,41.822
1683.094,41.788
1683.224,41.607
1683.329,41.892
1683.400,41.957
1683.510,41.97
1683.621,41.834
1683.712,41.871
1683.812,41.971
1683.910,42.037
1684.030,41.989
1684.119,42.022
